Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD0041,City_87,College_180,1st,Robotics,Mass-Mailing
LD0042,City_42,College_190,4th,Cyber Security,Instagram
LD0043,City_64,College_56,4th,Cyber Security,Instagram
LD0044,City_53,College_117,2nd,Data Science,
LD0045,City_83,College_193,3rd,Cyber Security,Mass-Mailing
LD0046,City_53,College_151,3rd,AI,College Collaboration
LD0047,City_14,,3rd,Data Science,Instagram
LD0048,City_17,College_145,1st,statistics,
LD0049,City_94,College_146,3rd,Robotics,LinkedIn
LD0050,City_100,College_69,10th,Robotics,Mass-Mailing
LD0051,City_13,,3rd,statistics,Whatsapp
LD0052,City_74,College_71,1st,ML,Whatsapp
LD0053,City_44,College_62,1st,Cyber Security,LinkedIn
LD0054,City_58,College_77,1st,ML,X
LD0055,City_64,College_69,4th,,College Collaboration
LD0056,City_47,College_75,3rd,ML,LinkedIn
LD0057,City_5,College_26,4th,AI,Mass-Mailing
LD0058,City_26,College_152,2nd,statistics,Instagram
LD0059,City_82,College_113,1st,AI,Instagram
LD0060,City_70,College_26,,statistics,Instagram
LD0061,,College_26,4th,ML,Instagram
LD0062,City_39,College_62,4th,Cyber Security,X
LD0063,City_85,College_115,4th,statistics,X
LD0064,City_54,College_63,1st,Cyber Security,Google Form
LD0065,City_82,College_6,2nd,Data Science,College Collaboration
LD0066,City_55,College_115,3rd,Data Science,Whatsapp
LD0067,City_58,College_85,4th,Data Science,Google Form
LD0068,City_19,College_49,2nd,statistics,
LD0069,City_50,College_81,3rd,Cyber Security,Google Form
LD0070,,College_146,2nd,Data Science,Google Form
LD0071,City_47,College_199,1st,ML,Mass-Mailing
LD0072,City_41,College_88,4th,ML,Instagram
LD0073,City_41,College_33,3rd,Data Science,Instagram
LD0074,City_40,College_62,2nd,Data Science,Whatsapp
LD0075,City_73,College_99,3rd,Cyber Security,Mass-Mailing
LD0076,City_64,College_50,,ML,
LD0077,City_90,College_9,4th,Robotics,Mass-Mailing
LD0078,City_2,College_21,2nd,statistics,Instagram
LD0079,City_77,College_19,3rd,statistics,
LD0080,City_64,College_25,2nd,Cyber Security,X
LD0081,,College_43,2nd,Data Science,Instagram
LD0082,City_9,College_82,1st,Cyber Security,College Collaboration
LD0083,City_77,College_199,2nd,Cyber Security,LinkedIn
LD0084,City_47,College_69,3rd,Data Science,College Collaboration
LD0085,City_9,College_115,4th,Cyber Security,Instagram
LD0086,City_17,College_177,1st,Cyber Security,College Collaboration
LD0087,City_84,College_125,3rd,Cyber Security,College Collaboration
LD0088,City_1,College_167,2nd,Cyber Security,College Collaboration
LD0089,City_21,College_187,2nd,AI,Google Form
LD0090,City_69,College_163,4th,Data Science,College Collaboration
LD0091,City_84,College_183,4th,AI,Google Form
LD0092,City_52,College_75,3rd,Data Science,College Collaboration
LD0093,City_82,College_50,2nd,Data Science,LinkedIn
LD0094,City_82,,2nd,Data Science,Mass-Mailing
LD0095,City_63,College_50,4th,statistics,Whatsapp
LD0096,City_30,College_63,2nd,Cyber Security,Mass-Mailing
LD0097,,College_188,2nd,ML,College Collaboration
LD0098,City_94,College_118,1st,Cyber Security,College Collaboration
LD0099,City_43,College_159,3rd,AI,Instagram
LD0100,City_4,,4th,AI,Mass-Mailing
LD0101,City_64,College_151,1st,Robotics,Instagram
LD0102,City_50,College_80,3rd,AI,Whatsapp
LD0103,City_64,College_42,1st,ML,College Collaboration
LD0104,City_24,College_96,3rd,Cyber Security,College Collaboration
LD0105,City_91,College_143,1st,,Instagram
LD0106,City_90,College_35,4th,Data Science,College Collaboration
LD0107,City_42,College_101,2nd,Data Science,College Collaboration
LD0108,City_68,College_199,3rd,Electric Vehicle,College Collaboration
LD0109,City_51,College_39,1st,Cyber Security,Google Form
LD0110,City_39,College_6,2nd,Data Science,Whatsapp
LD0111,City_39,College_199,10th,Cyber Security,
LD0112,City_13,College_133,1st,Data Science,Whatsapp
LD0113,City_54,College_50,2nd,statistics,Instagram
LD0114,City_94,College_165,4th,,College Collaboration
LD0115,City_87,College_119,1st,Cyber Security,LinkedIn
LD0116,City_58,College_56,4th,AI,Instagram
LD0117,City_82,College_62,3rd,Data Science,Instagram
LD0118,City_47,College_56,3rd,Data Science,LinkedIn
LD0119,City_41,College_61,3rd,Data Science,Mass-Mailing
LD0120,City_5,College_115,4th,ML,Google Form
LD0121,City_24,College_119,4th,statistics,College Collaboration
LD0122,City_64,College_82,1st,Cyber Security,Google Form
LD0123,City_70,College_111,2nd,Electric Vehicle,Instagram
LD0124,City_60,College_42,4th,Data Science,College Collaboration
LD0125,City_73,College_3,10th,statistics,Instagram
LD0126,City_55,College_143,2nd,Cyber Security,College Collaboration
LD0127,City_78,College_50,1st,AI,College Collaboration
LD0128,City_13,College_113,3rd,Data Science,Instagram
LD0129,City_45,College_193,2nd,Electric Vehicle,LinkedIn
LD0130,City_47,College_145,3rd,ML,Whatsapp
LD0131,City_77,College_126,3rd,Data Science,College Collaboration
LD0132,City_79,College_119,1st,Data Science,College Collaboration
LD0133,City_85,College_145,3rd,Data Science,Instagram
LD0134,City_24,College_190,3rd,statistics,College Collaboration
LD0135,City_42,,4th,Electric Vehicle,Google Form
LD0136,City_26,College_62,2nd,ML,Mass-Mailing
LD0137,City_82,College_102,1st,,Mass-Mailing
LD0138,City_9,,2nd,Data Science,Whatsapp
LD0139,City_93,College_63,1st,Data Science,LinkedIn
LD0140,City_80,College_193,2nd,Cyber Security,College Collaboration
LD0141,City_44,College_50,1st,statistics,
LD0142,City_55,College_25,2nd,Data Science,Instagram
LD0143,City_16,College_173,1st,ML,Mass-Mailing
LD0144,City_71,College_56,4th,Electric Vehicle,College Collaboration
LD0145,City_72,College_142,2nd,Electric Vehicle,Whatsapp
LD0146,City_85,College_182,1st,Robotics,Instagram
LD0147,City_58,College_74,4th,Data Science,Mass-Mailing
LD0148,City_52,College_69,4th,statistics,Mass-Mailing
LD0149,City_40,College_44,2nd,Data Science,Instagram
LD0150,City_33,College_89,3rd,AI,Google Form
LD0151,City_33,College_75,1st,Cyber Security,College Collaboration
LD0152,City_33,College_56,4th,statistics,Instagram
LD0153,City_34,College_158,3rd,statistics,Google Form
LD0154,City_13,College_158,3rd,Robotics,Google Form
LD0155,City_33,College_185,3rd,AI,Google Form
LD0156,City_39,College_26,4th,Data Science,Google Form
LD0157,City_9,College_62,2nd,Data Science,Other
LD0158,City_68,College_133,3rd,statistics,LinkedIn
LD0159,City_55,College_119,1st,Data Science,Google Form
LD0160,City_4,College_133,4th,Cyber Security,College Collaboration
LD0161,City_45,College_102,4th,Cyber Security,Instagram
LD0162,City_33,College_131,1st,Cyber Security,LinkedIn
LD0163,City_54,College_56,3rd,ML,Instagram
LD0164,City_34,College_95,2nd,Electric Vehicle,College Collaboration
LD0165,City_97,College_114,1st,AI,Google Form
LD0166,City_63,College_129,1st,statistics,Whatsapp
LD0167,City_71,College_169,3rd,Data Science,X
LD0168,City_15,College_97,2nd,Cyber Security,Instagram
LD0169,City_77,,3rd,Cyber Security,College Collaboration
LD0170,City_85,College_169,1st,ML,College Collaboration
LD0171,City_92,College_101,2nd,ML,Instagram
LD0172,City_77,College_64,1st,Robotics,LinkedIn
LD0173,City_69,College_164,2nd,Robotics,LinkedIn
LD0174,City_30,College_10,4th,Data Science,Google Form
LD0175,City_5,College_92,3rd,Data Science,Google Form
LD0176,City_13,College_113,3rd,Data Science,Google Form
LD0177,City_26,College_166,4th,statistics,LinkedIn
LD0178,City_76,College_110,3rd,Data Science,LinkedIn
LD0179,City_5,College_80,3rd,Data Science,Instagram
LD0180,City_4,College_170,3rd,ML,Mass-Mailing
LD0181,City_60,College_156,1st,,Whatsapp
LD0182,City_19,College_50,3rd,ML,
LD0183,City_9,College_126,2nd,Data Science,Instagram
LD0184,City_1,College_84,2nd,statistics,College Collaboration
LD0185,City_77,College_50,3rd,Electric Vehicle,LinkedIn
LD0186,City_77,College_56,1st,,Whatsapp
LD0187,City_30,College_128,2nd,Cyber Security,College Collaboration
LD0188,City_64,,3rd,ML,Instagram
LD0189,City_13,College_41,3rd,Data Science,Google Form
LD0190,City_26,College_164,1st,statistics,College Collaboration
LD0191,City_92,College_198,2nd,,College Collaboration
LD0192,City_19,,2nd,AI,Instagram
LD0193,City_54,College_71,4th,,Whatsapp
LD0194,City_2,College_92,4th,Cyber Security,Other
LD0195,City_83,College_57,3rd,ML,College Collaboration
LD0196,City_63,College_74,4th,ML,Google Form
LD0197,City_61,College_170,,ML,College Collaboration
LD0198,City_58,College_188,4th,ML,Mass-Mailing
LD0199,City_39,College_131,2nd,ML,College Collaboration
LD0200,City_6,College_61,2nd,Data Science,Google Form
LD0201,City_43,College_164,,Electric Vehicle,Whatsapp
LD0202,City_92,College_6,4th,Electric Vehicle,
LD0203,,College_156,1st,Robotics,LinkedIn
LD0204,City_50,College_26,2nd,Data Science,LinkedIn
LD0205,City_68,,3rd,Data Science,Instagram
LD0206,City_87,,3rd,ML,College Collaboration
LD0207,City_67,College_92,4th,AI,LinkedIn
LD0208,,College_107,3rd,statistics,LinkedIn
LD0209,City_10,College_107,3rd,,Google Form
LD0210,City_9,College_176,1st,ML,
LD0211,City_9,College_77,4th,ML,Mass-Mailing
LD0212,City_77,College_171,3rd,statistics,College Collaboration
LD0213,City_73,College_101,3rd,Data Science,Whatsapp
LD0214,City_19,College_77,3rd,Robotics,Mass-Mailing
LD0215,City_47,College_170,4th,statistics,Instagram
LD0216,City_82,College_119,2nd,ML,Mass-Mailing
LD0217,City_39,College_160,3rd,Electric Vehicle,College Collaboration
LD0218,City_6,College_79,4th,Robotics,College Collaboration
LD0219,City_64,College_53,4th,Data Science,Instagram
LD0220,City_63,College_1,3rd,,X
LD0221,City_40,College_14,1st,Electric Vehicle,Google Form
LD0222,City_63,College_119,3rd,Data Science,Google Form
LD0223,City_80,College_93,2nd,,Mass-Mailing
LD0224,City_66,College_134,1st,Cyber Security,Instagram
LD0225,City_82,College_126,3rd,statistics,LinkedIn
LD0226,City_64,College_113,4th,ML,LinkedIn
LD0227,City_5,College_187,4th,Electric Vehicle,Google Form
LD0228,City_55,College_19,1st,Data Science,College Collaboration
LD0229,City_64,College_9,2nd,Cyber Security,
LD0230,City_83,College_49,2nd,Cyber Security,Mass-Mailing
LD0231,City_19,College_129,2nd,Cyber Security,Google Form
LD0232,City_78,College_69,4th,Electric Vehicle,College Collaboration
LD0233,City_74,College_146,4th,Robotics,College Collaboration
LD0234,City_71,College_71,4th,,College Collaboration
LD0235,City_45,College_58,4th,statistics,Whatsapp
LD0236,City_44,College_67,4th,Cyber Security,Mass-Mailing
LD0237,City_83,College_167,2nd,ML,LinkedIn
LD0238,City_47,College_89,2nd,Cyber Security,LinkedIn
LD0239,City_23,College_50,4th,Cyber Security,College Collaboration
LD0240,City_64,College_92,2nd,Robotics,LinkedIn
LD0241,City_33,College_62,4th,Cyber Security,Whatsapp
LD0242,City_100,College_193,3rd,Cyber Security,Google Form
LD0243,City_5,College_127,1st,Cyber Security,College Collaboration
LD0244,City_55,College_56,2nd,Data Science,
LD0245,City_80,College_193,4th,Data Science,X
LD0246,City_93,College_38,4th,Data Science,LinkedIn
LD0247,City_9,College_115,3rd,Robotics,College Collaboration
LD0248,City_74,College_141,2nd,Cyber Security,College Collaboration
LD0249,City_28,College_142,3rd,Data Science,College Collaboration
LD0250,City_9,College_117,4th,,College Collaboration
LD0251,City_98,College_49,4th,Cyber Security,Instagram
LD0252,City_1,College_35,4th,Cyber Security,Whatsapp
LD0253,City_46,College_107,2nd,Data Science,Google Form
LD0254,City_5,College_88,4th,,Google Form
LD0255,City_82,College_50,2nd,Data Science,College Collaboration
LD0256,City_39,College_126,4th,Cyber Security,Google Form
LD0257,City_1,College_117,2nd,AI,Instagram
LD0258,City_79,College_170,2nd,statistics,College Collaboration
LD0259,,College_125,3rd,statistics,Instagram
LD0260,City_64,,4th,ML,LinkedIn
LD0261,City_84,College_113,4th,Robotics,College Collaboration
LD0262,City_93,College_156,2nd,,College Collaboration
LD0263,City_53,College_195,2nd,Robotics,Google Form
LD0264,City_47,College_39,1st,Data Science,College Collaboration
LD0265,City_26,College_56,3rd,ML,Google Form
LD0266,City_1,College_126,1st,Robotics,LinkedIn
LD0267,City_50,College_61,2nd,Electric Vehicle,LinkedIn
LD0268,City_13,College_198,3rd,,College Collaboration
LD0269,City_46,College_123,3rd,Data Science,X
LD0270,City_85,College_184,1st,statistics,Whatsapp
LD0271,City_73,College_82,4th,Robotics,Instagram
LD0272,City_44,College_85,2nd,Robotics,Whatsapp
LD0273,City_92,College_185,1st,statistics,Whatsapp
LD0274,City_83,College_190,2nd,Data Science,Google Form
LD0275,City_78,College_102,4th,Cyber Security,Mass-Mailing
LD0276,City_41,College_29,1st,Data Science,LinkedIn
LD0277,City_19,College_64,2nd,Data Science,Google Form
LD0278,,College_126,3rd,statistics,LinkedIn
LD0279,City_100,College_54,1st,statistics,College Collaboration
LD0280,City_64,College_164,4th,Data Science,College Collaboration
LD0281,City_77,College_89,1st,ML,Mass-Mailing
LD0282,City_60,College_89,1st,Cyber Security,Whatsapp
LD0283,City_33,College_194,1st,Data Science,College Collaboration
LD0284,City_41,College_86,1st,Robotics,College Collaboration
LD0285,City_41,College_6,2nd,Cyber Security,Google Form
LD0286,City_82,College_25,4th,statistics,Mass-Mailing
LD0287,City_9,College_25,,Cyber Security,Mass-Mailing
LD0288,City_9,College_42,3rd,Data Science,Google Form
LD0289,City_34,College_96,3rd,Electric Vehicle,College Collaboration
LD0290,City_64,College_89,2nd,Data Science,X
LD0291,City_90,College_160,2nd,Electric Vehicle,X
LD0292,City_77,College_15,4th,Data Science,Instagram
LD0293,City_46,College_15,4th,Data Science,Mass-Mailing
LD0294,City_23,College_135,2nd,Data Science,Whatsapp
LD0295,City_64,College_137,2nd,Data Science,College Collaboration
LD0296,City_30,College_193,3rd,statistics,Mass-Mailing
LD0297,City_41,College_45,2nd,Cyber Security,Mass-Mailing
LD0298,City_82,College_194,4th,Cyber Security,LinkedIn
LD0299,City_41,College_158,2nd,Cyber Security,LinkedIn
LD0300,City_45,College_146,3rd,Electric Vehicle,Google Form
LD0301,City_46,College_99,3rd,Cyber Security,Google Form
LD0302,City_84,College_152,4th,ML,College Collaboration
LD0303,City_13,College_50,10th,Data Science,LinkedIn
LD0304,City_83,College_128,2nd,AI,College Collaboration
LD0305,City_89,College_81,1st,Data Science,Instagram
LD0306,City_50,College_146,2nd,ML,LinkedIn
LD0307,City_46,College_61,2nd,AI,Mass-Mailing
LD0308,City_68,College_120,3rd,,LinkedIn
LD0309,City_34,College_120,3rd,statistics,College Collaboration
LD0310,City_44,College_113,1st,ML,LinkedIn
LD0311,City_87,College_71,3rd,Data Science,Instagram
LD0312,City_9,College_184,4th,Cyber Security,College Collaboration
LD0313,City_43,College_113,2nd,Data Science,Whatsapp
LD0314,City_9,College_34,1st,Robotics,LinkedIn
LD0315,City_24,College_159,2nd,Cyber Security,Instagram
LD0316,City_55,College_113,1st,Data Science,College Collaboration
LD0317,City_77,College_25,2nd,Data Science,Instagram
LD0318,City_74,College_22,4th,Robotics,LinkedIn
LD0319,City_90,College_71,2nd,Data Science,LinkedIn
LD0320,City_55,College_6,1st,statistics,Google Form
LD0321,City_2,College_125,4th,Data Science,College Collaboration
LD0322,City_47,College_14,4th,ML,Instagram
LD0323,City_77,College_62,1st,ML,Whatsapp
LD0324,City_84,College_188,4th,,Instagram
LD0325,City_84,College_167,2nd,AI,Instagram
LD0326,City_64,College_31,2nd,Robotics,X
LD0327,City_26,College_77,2nd,,Google Form
LD0328,City_79,College_86,3rd,Robotics,Instagram
LD0329,City_85,College_113,4th,statistics,College Collaboration
LD0330,City_8,College_45,2nd,,
LD0331,City_91,College_102,4th,AI,Google Form
LD0332,City_10,College_71,4th,Data Science,Instagram
LD0333,City_4,College_67,3rd,Electric Vehicle,Mass-Mailing
LD0334,City_10,College_12,4th,Data Science,College Collaboration
LD0335,City_44,College_54,2nd,ML,X
LD0336,City_83,College_126,3rd,statistics,Whatsapp
LD0337,City_40,College_120,3rd,Cyber Security,X
LD0338,City_92,College_142,4th,Cyber Security,College Collaboration
LD0339,City_18,College_75,4th,AI,LinkedIn
LD0340,City_19,College_157,1st,statistics,Mass-Mailing
LD0341,City_19,College_32,3rd,Data Science,College Collaboration
LD0342,City_26,College_41,2nd,Cyber Security,Google Form
LD0343,City_47,College_101,2nd,statistics,Google Form
LD0344,City_77,College_65,4th,ML,College Collaboration
LD0345,City_64,College_77,2nd,Data Science,LinkedIn
LD0346,City_47,College_3,4th,AI,College Collaboration
LD0347,City_51,College_64,1st,AI,College Collaboration
LD0348,City_76,College_157,2nd,Data Science,Instagram
LD0349,City_4,College_119,1st,ML,Google Form
LD0350,City_9,College_128,1st,Data Science,Mass-Mailing
LD0351,City_47,College_62,3rd,Robotics,Whatsapp
LD0352,City_82,College_110,1st,Robotics,College Collaboration
LD0353,City_61,College_107,,Robotics,Instagram
LD0354,City_50,College_33,4th,,Mass-Mailing
LD0355,City_71,College_101,2nd,Data Science,Instagram
LD0356,City_13,College_110,2nd,Cyber Security,LinkedIn
LD0357,City_6,College_132,4th,statistics,Whatsapp
LD0358,City_47,College_136,3rd,Cyber Security,College Collaboration
LD0359,City_9,College_10,4th,statistics,College Collaboration
LD0360,City_82,College_100,4th,ML,X
LD0361,City_23,College_180,4th,Data Science,
LD0362,City_26,College_56,1st,Cyber Security,Whatsapp
LD0363,City_82,College_82,1st,Cyber Security,Mass-Mailing
LD0364,City_15,College_113,4th,statistics,X
LD0365,City_63,College_153,1st,AI,Instagram
LD0366,City_4,College_143,4th,ML,X
LD0367,City_58,College_50,2nd,Data Science,Whatsapp
LD0368,City_77,College_170,4th,statistics,Instagram
LD0369,City_44,College_157,2nd,Cyber Security,College Collaboration
LD0370,City_77,College_27,2nd,statistics,Whatsapp
LD0371,City_18,College_166,4th,ML,College Collaboration
LD0372,City_48,College_147,1st,AI,X
LD0373,,College_133,4th,Data Science,Instagram
LD0374,City_33,College_39,4th,ML,Instagram
LD0375,City_43,College_89,3rd,statistics,College Collaboration
LD0376,City_74,,4th,ML,College Collaboration
LD0377,City_45,College_160,2nd,Cyber Security,Instagram
LD0378,City_41,College_136,1st,Data Science,LinkedIn
LD0379,City_93,College_180,1st,statistics,Google Form
LD0380,City_77,College_19,1st,ML,Instagram
LD0381,City_30,College_158,3rd,Electric Vehicle,Mass-Mailing
LD0382,City_64,College_163,1st,AI,Instagram
LD0383,City_87,College_170,4th,AI,Whatsapp
LD0384,City_82,College_145,3rd,statistics,College Collaboration
LD0385,City_71,College_54,2nd,Cyber Security,College Collaboration
LD0386,City_45,,1st,ML,LinkedIn
LD0387,City_87,College_169,2nd,Cyber Security,College Collaboration
LD0388,City_80,College_159,3rd,Robotics,Whatsapp
LD0389,City_41,College_147,2nd,statistics,College Collaboration
LD0390,City_2,College_157,3rd,Cyber Security,Google Form
LD0391,City_2,College_113,1st,Electric Vehicle,Whatsapp
LD0392,City_54,College_143,4th,Data Science,Google Form
LD0393,City_15,College_2,2nd,Data Science,College Collaboration
LD0394,City_86,College_170,4th,Cyber Security,Instagram
LD0395,City_85,College_176,3rd,Cyber Security,Google Form
LD0396,City_70,College_157,2nd,Cyber Security,Instagram
LD0397,City_5,College_143,3rd,statistics,College Collaboration
LD0398,City_99,College_54,3rd,Robotics,Mass-Mailing
LD0399,City_85,College_124,1st,Data Science,College Collaboration
LD0400,,College_92,2nd,ML,LinkedIn
LD0401,City_87,College_117,3rd,,Whatsapp
LD0402,City_26,College_199,4th,statistics,Whatsapp
LD0403,City_39,College_180,2nd,statistics,Instagram
LD0404,City_78,College_114,2nd,Cyber Security,LinkedIn
LD0405,City_19,College_60,1st,Data Science,LinkedIn
LD0406,City_10,College_19,2nd,statistics,Whatsapp
LD0407,City_47,College_128,3rd,Cyber Security,Instagram
LD0408,City_79,College_113,2nd,ML,College Collaboration
LD0409,City_9,College_162,3rd,Robotics,College Collaboration
LD0410,City_10,College_37,3rd,ML,College Collaboration
LD0411,City_78,College_77,2nd,Electric Vehicle,Mass-Mailing
LD0412,City_42,College_91,4th,Data Science,Google Form
LD0413,City_72,College_142,1st,Data Science,LinkedIn
LD0414,,College_141,3rd,ML,Instagram
LD0415,City_53,College_113,2nd,ML,Whatsapp
LD0416,City_82,College_50,2nd,ML,Mass-Mailing
LD0417,City_73,College_146,1st,Data Science,Mass-Mailing
LD0418,City_4,College_152,1st,,LinkedIn
LD0419,City_58,College_30,4th,Data Science,Instagram
LD0420,City_55,College_39,1st,statistics,College Collaboration
LD0421,City_5,College_38,1st,statistics,College Collaboration
LD0422,City_71,College_61,1st,Cyber Security,X
LD0423,City_83,College_87,4th,Data Science,Whatsapp
LD0424,City_38,College_50,4th,AI,
LD0425,City_9,College_143,2nd,AI,College Collaboration
LD0426,City_82,College_27,4th,Cyber Security,Instagram
LD0427,City_19,College_74,2nd,ML,Mass-Mailing
LD0428,City_83,College_143,2nd,ML,College Collaboration
LD0429,City_61,College_79,4th,Cyber Security,College Collaboration
LD0430,City_53,College_159,4th,ML,College Collaboration
LD0431,City_99,,3rd,Data Science,Google Form
LD0432,City_73,College_26,1st,Robotics,LinkedIn
LD0433,City_33,College_113,2nd,Cyber Security,Instagram
LD0434,City_98,College_73,1st,Cyber Security,Google Form
LD0435,City_1,College_154,2nd,AI,LinkedIn
LD0436,City_17,College_176,2nd,ML,Whatsapp
LD0437,City_47,College_157,2nd,Data Science,Whatsapp
LD0438,City_13,College_124,4th,Data Science,Instagram
LD0439,City_50,College_62,1st,Cyber Security,Instagram
LD0440,City_89,College_112,4th,Electric Vehicle,College Collaboration
LD0441,City_77,College_89,2nd,Cyber Security,College Collaboration
LD0442,City_23,College_101,4th,Data Science,College Collaboration
LD0443,City_94,College_193,3rd,Cyber Security,Google Form
LD0444,City_85,College_73,1st,Electric Vehicle,College Collaboration
LD0445,City_47,College_160,4th,,Instagram
LD0446,City_51,College_180,1st,Cyber Security,Mass-Mailing
LD0447,City_40,College_50,1st,statistics,Google Form
LD0448,City_42,College_70,2nd,ML,LinkedIn
LD0449,City_82,College_127,4th,Robotics,College Collaboration
LD0450,City_2,College_26,1st,Electric Vehicle,College Collaboration
LD0451,City_66,College_146,4th,Data Science,LinkedIn
LD0452,City_50,College_69,1st,Data Science,College Collaboration
LD0453,City_66,College_146,1st,statistics,Instagram
LD0454,City_5,College_143,1st,Robotics,Instagram
LD0455,City_45,College_46,2nd,Electric Vehicle,
LD0456,City_74,College_134,3rd,Electric Vehicle,Google Form
LD0457,City_93,College_88,1st,Data Science,College Collaboration
LD0458,City_5,College_50,3rd,Data Science,Instagram
LD0459,,College_119,3rd,ML,College Collaboration
LD0460,City_73,College_14,1st,Data Science,Mass-Mailing
LD0461,City_68,College_193,2nd,,Instagram
LD0462,City_77,,1st,statistics,College Collaboration
LD0463,City_82,College_67,3rd,ML,X
LD0464,City_68,College_92,4th,Cyber Security,
LD0465,City_68,College_19,1st,ML,College Collaboration
LD0466,City_42,College_147,1st,Cyber Security,Mass-Mailing
LD0467,City_63,College_199,4th,statistics,
LD0468,City_39,College_14,3rd,Data Science,LinkedIn
LD0469,City_26,College_184,3rd,Cyber Security,Mass-Mailing
LD0470,City_82,College_54,4th,,Whatsapp
LD0471,City_2,College_115,2nd,Data Science,Instagram
LD0472,City_60,College_29,4th,Data Science,
LD0473,City_26,College_160,4th,Robotics,College Collaboration
LD0474,City_30,College_142,1st,Cyber Security,LinkedIn
LD0475,City_73,College_26,3rd,ML,Whatsapp
LD0476,City_4,College_132,2nd,Data Science,LinkedIn
LD0477,City_94,College_47,1st,Electric Vehicle,College Collaboration
LD0478,City_52,College_27,4th,Data Science,Mass-Mailing
LD0479,City_47,,4th,Cyber Security,LinkedIn
LD0480,City_53,College_39,4th,Data Science,College Collaboration
LD0481,City_70,College_146,3rd,Data Science,Mass-Mailing
LD0482,City_9,College_77,10th,,Instagram
LD0483,City_5,College_173,3rd,ML,
LD0484,City_1,College_44,1st,,Instagram
LD0485,City_5,College_193,2nd,Data Science,College Collaboration
LD0486,City_53,College_62,3rd,Cyber Security,Google Form
LD0487,City_32,College_115,4th,,College Collaboration
LD0488,City_61,College_177,3rd,Data Science,Whatsapp
LD0489,City_19,College_133,2nd,,College Collaboration
LD0490,City_38,College_185,3rd,Cyber Security,Google Form
LD0491,City_55,College_61,1st,Data Science,Whatsapp
LD0492,City_42,College_126,1st,Data Science,College Collaboration
LD0493,City_55,College_186,3rd,Data Science,College Collaboration
LD0494,City_46,College_109,1st,Robotics,Whatsapp
LD0495,City_13,College_171,3rd,ML,Instagram
LD0496,City_13,College_176,1st,Robotics,Google Form
LD0497,City_46,College_99,4th,Cyber Security,Whatsapp
LD0498,City_94,College_50,1st,AI,College Collaboration
LD0499,City_13,College_17,3rd,Electric Vehicle,Whatsapp
LD0500,City_5,College_137,2nd,statistics,LinkedIn
LD0501,City_24,College_113,2nd,statistics,Instagram
LD0502,City_4,College_120,1st,Data Science,Mass-Mailing
LD0503,City_4,College_189,3rd,Cyber Security,College Collaboration
LD0504,City_85,College_25,1st,,Instagram
LD0505,City_5,College_126,2nd,AI,Instagram
LD0506,City_87,College_163,1st,statistics,Mass-Mailing
LD0507,City_17,College_77,1st,Data Science,College Collaboration
LD0508,City_55,College_126,,ML,Instagram
LD0509,City_58,College_92,1st,Cyber Security,Mass-Mailing
LD0510,City_46,College_113,2nd,Electric Vehicle,College Collaboration
LD0511,City_75,College_69,4th,Electric Vehicle,LinkedIn
LD0512,City_9,College_39,2nd,ML,College Collaboration
LD0513,City_58,College_45,4th,Data Science,College Collaboration
